Общее количество слов                   : 953
Количество уникальных слов              : 675
Средняя частота слова                   : 1.4119
Медианная частота                       : 1.0000
Максимальная частота                    : 17
Минимальная частота                     : 1
Стандартное отклонение                  : 1.3072
Коэффициент вариации                    : 0.9259
Слово с максимальной частотой           : языка
Частота самого частого слова            : 17
