Общее количество слов                   : 1122
Количество уникальных слов              : 700
Средняя частота слова                   : 1.6029
Медианная частота                       : 1.0000
Максимальная частота                    : 35
Минимальная частота                     : 1
Стандартное отклонение                  : 2.3384
Коэффициент вариации                    : 1.4589
Слово с максимальной частотой           : рта
Частота самого частого слова            : 35
