Общее количество слов                   : 1580
Количество уникальных слов              : 850
Средняя частота слова                   : 1.8588
Медианная частота                       : 1.0000
Максимальная частота                    : 60
Минимальная частота                     : 1
Стандартное отклонение                  : 2.7476
Коэффициент вариации                    : 1.4782
Слово с максимальной частотой           : данных
Частота самого частого слова            : 60
