Общее количество слов                   : 1262
Количество уникальных слов              : 548
Средняя частота слова                   : 2.3029
Медианная частота                       : 1.0000
Максимальная частота                    : 61
Минимальная частота                     : 1
Стандартное отклонение                  : 4.4459
Коэффициент вариации                    : 1.9305
Слово с максимальной частотой           : technology
Частота самого частого слова            : 61



